studytime,absences,G1,G2,freetime,goout,health,internet,Medu,Fedu,schoolsup,famsup,G3,subject
2,6,5,6,3,4,3,no,4,4,yes,no,6,math
2,4,5,5,3,3,3,yes,1,1,no,yes,6,math
2,10,7,8,3,2,3,yes,1,1,yes,no,10,math
3,2,15,14,2,2,5,yes,4,2,no,yes,15,math
2,4,6,10,3,2,5,no,3,3,no,yes,10,math
2,10,15,15,4,2,5,yes,4,3,no,yes,15,math
2,0,12,12,4,4,3,yes,2,2,no,no,11,math
2,6,6,5,1,4,1,no,4,4,yes,yes,6,math
2,0,16,18,2,2,1,yes,3,2,no,yes,19,math
2,0,14,15,5,1,5,yes,3,4,no,yes,15,math
2,0,10,8,3,3,2,yes,4,4,no,yes,9,math
3,4,10,12,2,2,4,yes,2,1,no,yes,12,math
1,2,14,14,3,3,5,yes,4,4,no,yes,14,math
2,2,10,10,4,3,3,yes,4,3,no,yes,11,math
3,0,14,16,5,2,3,yes,2,2,no,yes,16,math
1,4,14,14,4,4,2,yes,4,4,no,yes,14,math
3,6,13,14,2,3,2,yes,4,4,no,yes,14,math
2,4,8,10,3,2,4,no,3,3,yes,yes,10,math
1,16,6,5,5,5,5,yes,3,2,no,yes,5,math
1,4,8,10,1,3,5,yes,4,3,no,no,10,math
2,0,13,14,4,1,1,yes,4,3,no,no,15,math
1,0,12,15,4,2,5,yes,4,4,no,yes,15,math
2,2,15,15,5,1,5,yes,4,2,no,no,16,math
2,0,13,13,4,4,5,yes,2,2,no,yes,12,math
3,2,10,9,3,2,5,yes,2,4,yes,yes,8,math
1,14,6,9,2,2,5,yes,2,2,no,yes,8,math
1,2,12,12,2,2,5,yes,2,2,no,yes,11,math
1,4,15,16,2,4,1,yes,4,2,no,no,15,math
2,4,11,11,3,3,5,yes,3,4,yes,yes,11,math
2,16,10,12,4,5,5,yes,4,4,no,yes,11,math
2,0,9,11,4,2,5,yes,4,4,no,yes,12,math
2,0,17,16,3,1,5,yes,4,4,no,yes,17,math
2,0,17,16,5,2,5,yes,4,3,no,yes,16,math
2,0,8,10,3,2,2,yes,3,3,no,no,12,math
1,0,12,14,4,3,5,yes,3,2,no,yes,15,math
1,0,8,7,5,1,5,no,2,3,no,yes,6,math
3,2,15,16,4,3,4,yes,4,3,no,yes,18,math
3,7,15,16,4,3,5,yes,4,4,no,yes,15,math
3,2,12,12,3,2,5,yes,3,4,yes,yes,11,math
1,8,14,13,3,1,2,no,2,2,yes,yes,13,math
2,25,7,10,3,3,3,yes,2,2,no,yes,11,math
1,8,12,12,4,3,5,yes,4,4,no,yes,12,math
2,2,19,18,3,3,5,yes,4,4,no,yes,18,math
1,0,8,8,4,1,1,yes,2,2,yes,yes,11,math
2,14,10,10,3,3,5,yes,2,2,yes,no,9,math
2,8,8,8,2,2,5,yes,4,3,yes,yes,6,math
2,12,11,12,3,5,3,yes,3,3,no,yes,11,math
4,4,19,19,2,2,2,yes,4,3,no,no,20,math
2,2,15,15,3,3,5,no,4,2,no,yes,14,math
2,2,7,7,4,4,3,yes,4,4,yes,yes,7,math
2,2,12,13,3,3,4,yes,2,2,no,yes,13,math
2,2,11,13,3,3,5,yes,4,2,no,yes,13,math
1,6,11,11,5,5,5,no,4,2,no,no,10,math
1,0,8,10,3,4,5,yes,4,4,yes,yes,11,math
1,6,10,13,3,4,1,yes,3,3,no,no,13,math
2,8,8,9,3,4,2,yes,2,1,no,no,10,math
2,0,14,15,3,2,1,yes,4,3,no,yes,15,math
2,4,14,15,2,2,5,no,4,4,no,yes,15,math
2,2,9,10,3,2,5,yes,1,2,yes,yes,9,math
2,2,15,16,2,3,5,yes,4,2,no,yes,16,math
2,6,10,11,4,4,4,no,4,4,no,yes,11,math
1,6,10,8,5,5,5,yes,1,1,yes,yes,11,math
2,4,8,10,4,3,1,yes,1,2,yes,no,9,math
3,2,10,9,4,4,4,yes,4,3,yes,yes,9,math
2,0,10,10,4,4,2,yes,4,3,yes,no,10,math
2,2,16,15,4,3,1,yes,4,3,no,yes,15,math
4,4,13,13,3,3,3,yes,4,4,no,yes,12,math
4,4,7,7,3,3,5,yes,3,1,yes,yes,6,math
2,2,8,9,1,3,4,yes,2,2,yes,yes,8,math
4,12,16,16,4,2,3,yes,3,1,no,yes,16,math
4,0,13,15,3,2,5,yes,3,1,no,yes,15,math
4,0,10,10,3,3,3,yes,4,2,no,no,10,math
2,2,8,6,3,4,5,yes,1,1,yes,yes,5,math
1,2,12,12,3,2,5,no,3,1,no,no,14,math
2,54,11,12,3,3,5,yes,3,3,yes,yes,11,math
2,6,9,9,3,3,5,yes,4,3,no,yes,10,math
4,8,11,11,4,3,1,yes,4,0,no,no,10,math
4,0,11,11,2,3,3,yes,2,2,no,no,11,math
1,2,8,8,5,1,3,yes,2,1,yes,yes,10,math
2,12,5,5,4,3,3,yes,3,4,no,yes,5,math
1,2,10,12,2,2,3,yes,2,3,yes,yes,12,math
3,4,11,10,3,2,5,yes,2,3,yes,no,11,math
2,10,7,6,4,4,5,yes,3,2,no,yes,6,math
2,4,15,15,3,3,4,yes,2,2,no,no,15,math
2,2,9,10,3,2,4,yes,1,1,no,yes,10,math
2,6,7,9,4,4,5,yes,4,4,no,no,8,math
2,4,8,7,3,4,2,no,2,2,no,yes,6,math
3,4,13,14,3,3,1,yes,4,2,no,yes,14,math
2,12,11,10,4,2,3,yes,2,2,no,no,10,math
2,18,8,6,1,3,5,no,4,4,no,yes,7,math
3,0,7,7,3,3,4,yes,3,3,no,yes,8,math
1,4,16,17,5,5,1,yes,4,3,no,no,18,math
2,4,7,6,3,3,2,no,3,1,yes,yes,6,math
2,0,11,10,3,3,1,yes,4,2,no,yes,10,math
4,6,11,13,3,4,4,yes,2,2,no,yes,14,math
4,2,7,10,1,2,1,yes,1,1,yes,yes,10,math
1,2,11,15,3,3,4,yes,4,3,yes,yes,15,math
2,2,8,9,3,5,5,no,2,1,no,yes,10,math
1,6,11,14,3,4,1,yes,4,4,no,no,14,math
3,0,7,9,3,5,3,yes,4,3,yes,yes,8,math
1,14,7,7,5,5,4,yes,4,4,yes,yes,5,math
3,0,16,17,4,3,4,yes,4,4,no,yes,17,math
1,4,10,13,3,3,5,yes,4,4,no,yes,14,math
2,26,7,6,3,5,2,yes,3,2,yes,yes,6,math
2,0,16,18,4,4,1,yes,3,4,no,yes,18,math
4,10,10,11,3,3,4,no,3,3,yes,no,11,math
4,8,7,8,1,2,3,yes,2,2,yes,yes,8,math
3,2,16,18,3,3,5,yes,3,3,no,yes,18,math
4,6,10,13,3,5,1,yes,4,4,no,yes,13,math
3,4,14,15,4,5,4,yes,4,4,no,yes,16,math
1,6,18,19,5,3,4,yes,4,4,no,no,19,math
3,0,7,10,1,2,2,yes,3,3,yes,yes,10,math
2,6,10,13,1,2,5,yes,2,2,yes,no,13,math
1,10,18,19,5,2,3,yes,4,2,no,no,19,math
2,8,9,9,4,2,5,yes,2,1,no,no,9,math
2,2,15,15,4,4,5,yes,4,4,no,yes,16,math
2,2,11,13,4,3,2,no,4,4,no,yes,14,math
1,0,13,14,4,2,5,yes,3,3,no,no,13,math
2,20,9,7,2,4,5,yes,1,3,no,yes,8,math
1,6,14,13,4,3,4,yes,3,4,no,no,13,math
2,2,16,15,2,3,1,yes,1,2,no,no,15,math
4,6,16,14,5,4,5,yes,2,2,no,yes,15,math
2,2,13,13,2,2,5,yes,2,4,no,yes,13,math
1,18,14,11,4,4,5,yes,4,4,no,yes,13,math
2,0,8,7,4,4,5,yes,2,2,no,no,8,math
1,0,13,13,5,5,5,yes,3,4,yes,no,12,math
2,0,7,10,3,2,1,yes,3,4,yes,no,11,math
2,2,7,8,4,2,5,no,0,1,no,yes,9,math
1,0,7,4,3,3,4,yes,2,2,no,yes,0,math
1,8,18,18,5,5,4,yes,4,4,no,no,18,math
3,0,12,0,2,2,5,yes,3,4,no,yes,0,math
1,0,8,0,3,3,4,yes,1,1,no,yes,0,math
1,12,10,13,4,4,5,yes,2,2,no,yes,12,math
1,16,12,11,2,1,5,yes,3,4,no,no,11,math
2,0,9,0,3,3,5,no,3,4,no,yes,0,math
3,0,11,0,3,3,5,yes,4,4,no,yes,0,math
2,0,10,0,4,5,5,no,3,4,no,no,0,math
1,0,4,0,3,2,5,yes,3,3,no,yes,0,math
2,0,14,12,4,4,5,no,1,1,no,no,12,math
1,0,16,16,3,2,5,yes,4,4,no,no,15,math
4,0,7,9,2,2,3,yes,4,3,yes,yes,0,math
1,8,9,9,3,3,2,yes,2,2,no,yes,9,math
3,2,9,11,2,2,5,yes,4,4,no,yes,11,math
1,2,14,14,4,4,1,yes,1,1,no,no,13,math
1,0,5,0,4,5,5,yes,2,1,no,yes,0,math
2,0,8,11,4,2,5,yes,1,1,no,yes,11,math
2,0,6,7,3,2,3,yes,3,2,no,yes,0,math
2,2,10,11,3,2,5,yes,1,2,no,yes,11,math
1,0,7,6,3,2,5,yes,4,4,no,yes,0,math
1,0,8,9,5,5,5,yes,2,1,no,no,10,math
1,0,6,5,3,5,4,yes,1,1,no,no,0,math
1,6,12,13,4,4,5,no,2,1,no,no,14,math
3,8,10,10,2,1,3,yes,3,3,no,yes,10,math
1,0,5,0,5,4,4,yes,3,2,no,yes,0,math
1,0,11,11,2,1,4,no,4,4,yes,yes,12,math
2,2,11,8,4,4,1,no,2,3,yes,no,8,math
1,8,16,12,2,2,5,no,1,2,no,no,13,math
1,6,9,8,2,5,4,no,1,1,no,yes,10,math
1,2,17,15,2,2,3,no,2,2,no,no,15,math
2,4,10,12,5,5,5,yes,3,3,no,yes,12,math
1,0,7,6,3,2,5,yes,2,1,no,no,0,math
2,6,5,9,4,4,3,yes,3,2,yes,yes,7,math
1,0,7,0,4,4,5,no,1,2,no,no,0,math
1,2,10,10,3,3,2,yes,1,3,no,no,10,math
2,0,5,8,3,5,5,no,1,1,no,no,7,math
1,16,12,11,5,2,2,no,3,2,no,yes,12,math
2,4,10,10,3,5,4,yes,2,2,no,no,10,math
2,0,14,15,2,3,3,yes,4,2,no,no,16,math
2,0,6,7,1,5,4,yes,2,2,no,yes,0,math
2,0,14,14,4,2,3,yes,4,4,no,yes,14,math
1,0,6,5,4,5,2,yes,3,4,no,yes,0,math
2,2,13,15,3,2,3,yes,1,0,no,yes,16,math
2,0,13,11,4,4,5,yes,4,4,no,yes,10,math
2,0,8,7,3,5,3,yes,1,3,no,no,0,math
2,4,10,11,4,5,4,yes,3,3,no,yes,9,math
2,4,10,9,4,4,4,yes,4,3,no,no,9,math
2,2,13,13,4,4,5,yes,2,2,no,no,11,math
2,4,6,5,3,4,4,yes,3,3,no,no,6,math
1,10,10,8,3,3,3,yes,4,2,no,yes,9,math
2,4,10,10,2,3,2,yes,4,3,no,yes,11,math
2,10,9,8,4,3,3,yes,4,3,no,yes,8,math
2,2,12,13,2,3,3,yes,3,3,no,no,12,math
2,0,16,17,4,2,5,no,2,4,no,yes,17,math
2,56,9,9,3,3,1,yes,3,3,no,yes,8,math
2,14,12,13,2,2,1,yes,3,2,no,yes,12,math
2,12,12,12,3,4,4,yes,3,3,no,yes,11,math
1,2,11,12,3,3,3,yes,1,2,no,yes,11,math
2,0,15,15,2,3,5,yes,2,1,no,no,15,math
2,6,8,7,3,3,3,yes,3,3,no,yes,9,math
2,4,8,9,1,3,3,no,1,2,no,no,10,math
2,10,11,12,3,3,2,yes,2,3,no,no,13,math
2,0,8,8,3,3,3,yes,1,1,no,no,9,math
2,12,7,8,4,4,5,yes,1,2,no,no,8,math
1,8,8,9,3,2,5,yes,3,3,no,yes,10,math
1,0,13,14,3,3,3,yes,2,3,no,no,14,math
2,0,14,15,3,2,5,yes,2,4,no,no,15,math
1,4,17,15,2,3,5,yes,4,4,no,no,16,math
1,8,9,9,3,4,3,yes,3,3,no,yes,10,math
1,24,18,18,2,4,2,yes,4,4,no,yes,18,math
2,0,9,9,5,2,3,yes,4,4,no,yes,10,math
2,2,16,16,3,5,2,yes,4,3,no,yes,16,math
2,6,8,10,4,3,4,no,2,3,yes,yes,10,math
2,4,9,9,4,4,1,no,1,1,no,yes,10,math
1,18,7,6,3,2,3,yes,2,2,no,yes,6,math
4,6,10,10,3,5,5,yes,2,2,no,yes,11,math
