school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grade_improvement,avg_G1_G2,weighted_grade,grade_volatility,study_intensity,parent_education_avg,high_achiever,struggling,support_score,alcohol_risk
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,1,5.5,5.699999999999999,0.5773502691896258,1.4285714285714286,4.0,0,1,1,0
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,1,5.0,5.0,0.5773502691896258,2.0,1.0,0,1,1,0
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,3,7.5,7.699999999999999,1.5275252316519468,0.9090909090909091,1.0,0,0,2,1
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,0,14.5,14.299999999999999,0.5773502691896257,5.0,3.0,1,0,2,0
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,4,8.0,8.8,2.3094010767585034,2.0,3.0,0,0,2,0
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,0,15.0,15.0,0.0,0.9090909090909091,3.5,1,0,2,0
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,-1,12.0,11.999999999999998,0.5773502691896257,10.0,2.0,0,0,0,0
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,0,5.5,5.3,0.5773502691896258,1.4285714285714286,4.0,0,1,2,0
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,3,17.0,17.4,1.5275252316519465,10.0,2.5,1,0,2,0
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,1,14.5,14.7,0.5773502691896257,10.0,3.5,1,0,2,0
