school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grade_improvement,avg_G1_G2,weighted_grade,grade_volatility,study_intensity,parent_education_avg,high_achiever,struggling,support_score,alcohol_risk
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,11,5.5,7.699999999999999,6.350852961085883,2.0,4.0,0,0,1,0
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,2,10.0,10.399999999999999,1.1547005383792517,3.3333333333333335,1.0,0,0,1,0
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12,0,12.5,12.7,0.5773502691896257,1.4285714285714286,1.0,0,0,1,1
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,0,14.0,14.0,0.0,15.0,3.0,0,0,1,0
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,2,12.0,12.399999999999999,1.1547005383792517,10.0,3.0,0,0,1,0
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13,1,12.0,11.999999999999998,0.5773502691896257,1.4285714285714286,3.5,0,0,1,0
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13,0,12.5,12.299999999999999,0.5773502691896257,10.0,2.0,0,0,0,0
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13,3,11.5,12.1,1.7320508075688772,3.3333333333333335,4.0,0,0,2,0
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17,2,15.5,15.7,1.0,10.0,2.5,1,0,1,0
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13,1,12.0,11.999999999999998,0.5773502691896257,10.0,3.5,0,0,1,0
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,0,14.0,14.0,0.0,3.3333333333333335,4.0,0,0,1,0
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,3,11.0,11.399999999999999,1.5275252316519468,15.0,1.5,0,0,1,0
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,0,12.5,12.7,0.5773502691896257,5.0,4.0,0,0,1,1
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13,1,12.0,11.999999999999998,0.5773502691896257,10.0,3.5,0,0,1,0
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15,1,14.0,14.0,0.5773502691896257,15.0,2.0,1,0,1,0
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,0,17.0,17.0,0.0,0.7142857142857143,4.0,1,0,1,0
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,1,13.0,13.0,0.5773502691896257,1.3636363636363635,4.0,0,0,1,0
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,1,13.5,13.7,0.5773502691896257,3.3333333333333335,3.0,0,0,2,0
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7,-1,8.0,8.0,0.5773502691896258,1.6666666666666667,2.5,0,1,2,1
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12,0,12.0,11.999999999999998,0.0,0.7142857142857143,3.5,0,0,0,1
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14,2,12.5,12.7,1.0,10.0,3.5,0,0,0,0
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12,1,11.5,11.7,0.5773502691896257,5.0,4.0,0,0,2,0
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14,2,12.5,12.7,1.0,10.0,3.0,0,0,0,1
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10,0,10.0,10.0,0.0,3.3333333333333335,2.0,0,0,1,1
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10,0,10.5,10.7,0.5773502691896257,5.0,3.0,0,0,2,0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12,2,10.5,10.7,1.0,0.7142857142857143,2.0,0,0,1,1
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12,1,11.5,11.7,0.5773502691896257,0.5555555555555556,2.0,0,0,1,0
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11,0,11.0,11.0,0.0,5.0,3.0,0,0,0,1
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13,1,12.0,11.999999999999998,0.5773502691896257,3.3333333333333335,3.5,0,0,3,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12,0,11.5,11.299999999999999,0.5773502691896257,2.0,4.0,0,0,2,1
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11,1,10.5,10.7,0.5773502691896257,10.0,4.0,0,0,2,1
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15,0,15.0,15.0,0.0,3.3333333333333335,4.0,1,0,1,0
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15,2,13.5,13.7,1.0,10.0,3.5,1,0,1,0
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12,-1,12.5,12.299999999999999,0.5773502691896257,10.0,3.0,0,0,0,0
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12,0,12.0,11.999999999999998,0.0,1.0,2.5,0,0,1,0
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11,0,11.0,11.0,0.0,1.0,2.5,0,0,1,0
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14,0,14.0,14.0,0.0,15.0,3.5,0,0,1,0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13,0,13.0,13.0,0.0,3.0,4.0,0,0,1,0
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12,1,11.5,11.7,0.5773502691896257,5.0,3.5,0,0,2,0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12,-2,13.5,13.3,1.0,0.5555555555555556,2.0,0,0,2,0
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,10,-1,11.0,11.0,0.5773502691896257,0.5882352941176471,2.0,0,0,1,0
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11,1,10.5,10.7,0.5773502691896257,0.5555555555555556,4.0,0,0,1,1
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15,1,14.5,14.7,0.5773502691896257,10.0,4.0,1,0,1,0
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10,1,9.5,9.7,0.5773502691896257,5.0,2.0,0,0,2,0
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11,11,1,10.5,10.7,0.5773502691896257,0.6666666666666666,2.0,0,0,1,1
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11,1,10.5,10.7,0.5773502691896257,2.0,3.5,0,0,3,0
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,12,13,0,12.5,12.299999999999999,0.5773502691896257,1.4285714285714286,3.0,0,0,1,1
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17,17,17,0,17.0,17.0,0.0,6.666666666666667,3.5,1,0,0,0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,11,12,13,2,11.5,11.7,1.0,2.0,3.0,0,0,1,1
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12,-1,12.5,12.299999999999999,0.5773502691896257,3.3333333333333335,4.0,0,0,2,0
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13,-1,13.5,13.3,0.5773502691896257,10.0,2.0,0,0,1,1
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16,0,15.0,14.599999999999998,1.1547005383792517,10.0,3.0,1,0,1,0
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,10,9,9,-1,9.5,9.3,0.5773502691896257,1.0,3.0,0,1,0,1
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12,-1,12.5,12.299999999999999,0.5773502691896257,5.0,4.0,0,0,2,1
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13,0,12.5,12.299999999999999,0.5773502691896257,5.0,3.0,0,0,0,1
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12,0,12.5,12.7,0.5773502691896257,3.3333333333333335,1.5,0,0,0,0
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15,0,14.5,14.299999999999999,0.5773502691896257,10.0,3.5,1,0,1,0
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16,1,15.0,15.0,0.5773502691896257,1.1111111111111112,4.0,1,0,1,0
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14,0,13.5,13.3,0.5773502691896257,10.0,1.5,0,0,2,0
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16,0,15.5,15.3,0.5773502691896257,3.3333333333333335,3.0,1,0,2,0
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16,-1,16.5,16.299999999999997,0.5773502691896258,10.0,4.0,1,0,1,1
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16,6,10.0,10.0,3.4641016151377544,5.0,1.0,1,0,2,1
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10,-3,13.0,13.0,1.7320508075688772,10.0,1.5,0,0,1,0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13,-1,13.5,13.3,0.5773502691896257,15.0,3.5,0,0,2,1
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12,-1,12.5,12.299999999999999,0.5773502691896257,10.0,3.5,0,0,1,1
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16,0,15.5,15.3,0.5773502691896257,3.3333333333333335,3.5,1,0,1,0
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12,12,1,11.5,11.7,0.5773502691896257,20.0,4.0,0,0,1,1
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9,10,0,9.5,9.3,0.5773502691896257,20.0,2.0,0,0,2,0
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10,11,0,10.5,10.3,0.5773502691896257,10.0,2.0,0,0,2,1
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15,15,0,15.0,15.0,0.0,2.857142857142857,2.0,1,0,1,1
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,13,11,11,-2,12.0,11.6,1.1547005383792517,6.666666666666667,2.0,0,0,1,0
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,11,9,10,-1,10.0,9.6,1.0,20.0,3.0,0,0,0,0
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11,-2,12.0,11.6,1.1547005383792517,3.3333333333333335,1.0,0,0,2,1
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13,13,14,1,13.0,13.0,0.5773502691896257,5.0,2.0,0,0,0,1
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11,0,11.0,11.0,0.0,2.0,3.0,0,0,2,1
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11,11,11,0,11.0,11.0,0.0,10.0,3.5,0,0,1,1
