Factor,Math_Importance,Portuguese_Importance,Math_Recommendation,Portuguese_Recommendation
Consistency/Volatility,5,3,Keep it stable,Some variation OK
Study Hours,2,1,Quality over hours,Focus on quality
Absences,1,2,Minimize,Not critical
Motivation,2,5,Set goals,ESSENTIAL
Social Activity,2,2,Some OK,Speak practice
Recent Performance,4,5,Monitor progress,Most important
Alcohol,2,1,Avoid,AVOID completely
Family Education,2,3,Value family input,Use education advantage
Tutoring,4,1,Get tutoring,Self-study better
Age,1,1,Manage time,Manage time
